total_epoch: 150, batch_size: 4, initial_lr: 0.0001, drop_lr: 0.5, drop_lr_per_epoch: 30.0
epoch 1, total loss 6.0001, train acc 0.56522, train_AUC 0.56049, train_F1: 0.44444
epoch 2, total loss 5.2308, train acc 0.52174, train_AUC 0.50118, train_F1: 0.35294
epoch 3, total loss 5.2276, train acc 0.52174, train_AUC 0.46172, train_F1: 0.29032
epoch 4, total loss 4.8234, train acc 0.56522, train_AUC 0.5383, train_F1: 0.375
epoch 5, total loss 4.7568, train acc 0.51087, train_AUC 0.46667, train_F1: 0.28571
epoch 6, total loss 4.4587, train acc 0.5, train_AUC 0.48889, train_F1: 0.34286
epoch 7, total loss 4.7348, train acc 0.55435, train_AUC 0.60567, train_F1: 0.34921
epoch 8, total loss 4.8938, train acc 0.5, train_AUC 0.55718, train_F1: 0.28125
epoch 9, total loss 4.0678, train acc 0.53261, train_AUC 0.56002, train_F1: 0.29508
epoch 10, total loss 3.7641, train acc 0.63043, train_AUC 0.72931, train_F1: 0.46875
epoch 11, total loss 3.8915, train acc 0.47826, train_AUC 0.52671, train_F1: 0.25
epoch 12, total loss 3.6457, train acc 0.68478, train_AUC 0.70739, train_F1: 0.59155
epoch 13, total loss 3.3547, train acc 0.6413, train_AUC 0.67329, train_F1: 0.50746
epoch 14, total loss 2.8995, train acc 0.66304, train_AUC 0.7383, train_F1: 0.53731
epoch 15, total loss 3.2099, train acc 0.6087, train_AUC 0.6435, train_F1: 0.47059
epoch 16, total loss 3.005, train acc 0.53261, train_AUC 0.67045, train_F1: 0.37681
epoch 17, total loss 2.6844, train acc 0.61957, train_AUC 0.70794, train_F1: 0.49275
epoch 18, total loss 2.4869, train acc 0.67391, train_AUC 0.7565, train_F1: 0.55882
epoch 19, total loss 2.4115, train acc 0.6413, train_AUC 0.76785, train_F1: 0.49231
epoch 20, total loss 2.3325, train acc 0.63043, train_AUC 0.76607, train_F1: 0.43333
epoch 21, total loss 2.4191, train acc 0.6087, train_AUC 0.68762, train_F1: 0.47059
epoch 22, total loss 2.4758, train acc 0.58696, train_AUC 0.70071, train_F1: 0.44118
epoch 23, total loss 2.3181, train acc 0.68478, train_AUC 0.77079, train_F1: 0.56716
epoch 24, total loss 2.4791, train acc 0.59783, train_AUC 0.70969, train_F1: 0.4127
epoch 25, total loss 1.9384, train acc 0.75, train_AUC 0.83412, train_F1: 0.68493
epoch 26, total loss 2.3374, train acc 0.58696, train_AUC 0.64965, train_F1: 0.40625
epoch 27, total loss 1.797, train acc 0.6413, train_AUC 0.79868, train_F1: 0.47619
epoch 28, total loss 1.6059, train acc 0.70652, train_AUC 0.81309, train_F1: 0.61972
epoch 29, total loss 1.8473, train acc 0.63043, train_AUC 0.77447, train_F1: 0.45161
epoch 30, total loss 1.6775, train acc 0.65217, train_AUC 0.7793, train_F1: 0.5
epoch 31, total loss 1.7007, train acc 0.72826, train_AUC 0.84161, train_F1: 0.64789
epoch 32, total loss 1.7957, train acc 0.6413, train_AUC 0.75225, train_F1: 0.47619
epoch 33, total loss 1.6364, train acc 0.69565, train_AUC 0.84783, train_F1: 0.5625
epoch 34, total loss 1.3591, train acc 0.79348, train_AUC 0.87329, train_F1: 0.73973
epoch 35, total loss 1.6094, train acc 0.6413, train_AUC 0.7669, train_F1: 0.45902
epoch 36, total loss 1.7023, train acc 0.65217, train_AUC 0.73499, train_F1: 0.51515
epoch 37, total loss 1.7044, train acc 0.68478, train_AUC 0.77221, train_F1: 0.56716
epoch 38, total loss 1.5723, train acc 0.65217, train_AUC 0.78369, train_F1: 0.5
epoch 39, total loss 1.3835, train acc 0.72826, train_AUC 0.83286, train_F1: 0.63768
epoch 40, total loss 1.5171, train acc 0.68478, train_AUC 0.78061, train_F1: 0.56716
epoch 41, total loss 1.3542, train acc 0.69565, train_AUC 0.77589, train_F1: 0.6
epoch 42, total loss 1.4708, train acc 0.71739, train_AUC 0.7848, train_F1: 0.59375
epoch 43, total loss 1.3136, train acc 0.71739, train_AUC 0.82577, train_F1: 0.62857
epoch 44, total loss 1.3332, train acc 0.68478, train_AUC 0.80317, train_F1: 0.56716
epoch 45, total loss 1.3715, train acc 0.65217, train_AUC 0.75803, train_F1: 0.51515
epoch 46, total loss 1.4466, train acc 0.70652, train_AUC 0.78652, train_F1: 0.59701
epoch 47, total loss 1.1827, train acc 0.75, train_AUC 0.84279, train_F1: 0.66667
epoch 48, total loss 1.5159, train acc 0.65217, train_AUC 0.74326, train_F1: 0.5
epoch 49, total loss 1.1795, train acc 0.73913, train_AUC 0.85248, train_F1: 0.63636
epoch 50, total loss 1.2412, train acc 0.68478, train_AUC 0.75379, train_F1: 0.55385
epoch 51, total loss 1.2989, train acc 0.78261, train_AUC 0.8535, train_F1: 0.72222
epoch 52, total loss 1.3243, train acc 0.72826, train_AUC 0.82553, train_F1: 0.64789
epoch 53, total loss 1.3122, train acc 0.79348, train_AUC 0.86998, train_F1: 0.73973
epoch 54, total loss 1.5069, train acc 0.63043, train_AUC 0.7513, train_F1: 0.46875
epoch 55, total loss 1.4086, train acc 0.67391, train_AUC 0.77245, train_F1: 0.59459
epoch 56, total loss 1.2594, train acc 0.76087, train_AUC 0.83215, train_F1: 0.68571
epoch 57, total loss 1.2011, train acc 0.70652, train_AUC 0.81418, train_F1: 0.63014
epoch 58, total loss 1.2762, train acc 0.70652, train_AUC 0.83522, train_F1: 0.59701
epoch 59, total loss 1.5021, train acc 0.6413, train_AUC 0.73475, train_F1: 0.47619
epoch 60, total loss 1.1773, train acc 0.69565, train_AUC 0.81285, train_F1: 0.58824
epoch 61, total loss 0.93884, train acc 0.70652, train_AUC 0.84688, train_F1: 0.6087
epoch 62, total loss 1.373, train acc 0.68478, train_AUC 0.76607, train_F1: 0.55385
epoch 63, total loss 1.3277, train acc 0.69565, train_AUC 0.77683, train_F1: 0.61111
epoch 64, total loss 1.2436, train acc 0.71739, train_AUC 0.81773, train_F1: 0.61765
epoch 65, total loss 1.0881, train acc 0.68478, train_AUC 0.82175, train_F1: 0.52459
epoch 66, total loss 1.2193, train acc 0.71739, train_AUC 0.7982, train_F1: 0.63889
epoch 67, total loss 0.95739, train acc 0.76087, train_AUC 0.89083, train_F1: 0.68571
epoch 68, total loss 1.2247, train acc 0.68478, train_AUC 0.80709, train_F1: 0.55385
epoch 69, total loss 1.2866, train acc 0.72826, train_AUC 0.80047, train_F1: 0.65753
epoch 70, total loss 1.2518, train acc 0.70652, train_AUC 0.80421, train_F1: 0.59701
epoch 71, total loss 1.2463, train acc 0.68478, train_AUC 0.77647, train_F1: 0.57971
epoch 72, total loss 1.1051, train acc 0.72826, train_AUC 0.83499, train_F1: 0.64789
epoch 73, total loss 1.0231, train acc 0.79348, train_AUC 0.86035, train_F1: 0.74667
epoch 74, total loss 1.0429, train acc 0.69565, train_AUC 0.83034, train_F1: 0.57576
epoch 75, total loss 1.3074, train acc 0.69565, train_AUC 0.79253, train_F1: 0.62162
epoch 76, total loss 1.0527, train acc 0.77174, train_AUC 0.87589, train_F1: 0.69565
epoch 77, total loss 0.93326, train acc 0.75, train_AUC 0.89669, train_F1: 0.67606
epoch 78, total loss 1.2153, train acc 0.68478, train_AUC 0.78629, train_F1: 0.60274
epoch 79, total loss 1.2655, train acc 0.66304, train_AUC 0.80729, train_F1: 0.50794
epoch 80, total loss 1.1557, train acc 0.73913, train_AUC 0.83097, train_F1: 0.63636
epoch 81, total loss 1.2299, train acc 0.69565, train_AUC 0.78322, train_F1: 0.62162
epoch 82, total loss 1.0163, train acc 0.71739, train_AUC 0.79291, train_F1: 0.63889
epoch 83, total loss 1.2061, train acc 0.72826, train_AUC 0.83144, train_F1: 0.65753
epoch 84, total loss 0.92234, train acc 0.79348, train_AUC 0.88469, train_F1: 0.74667
epoch 85, total loss 1.187, train acc 0.6413, train_AUC 0.74563, train_F1: 0.47619
epoch 86, total loss 1.1453, train acc 0.72826, train_AUC 0.83641, train_F1: 0.63768
epoch 87, total loss 1.151, train acc 0.68478, train_AUC 0.77131, train_F1: 0.56716
epoch 88, total loss 1.0295, train acc 0.75, train_AUC 0.86695, train_F1: 0.64615
epoch 89, total loss 1.193, train acc 0.69565, train_AUC 0.78842, train_F1: 0.58824
epoch 90, total loss 1.0701, train acc 0.75, train_AUC 0.8331, train_F1: 0.65672
epoch 91, total loss 0.9489, train acc 0.70652, train_AUC 0.84634, train_F1: 0.59701
epoch 92, total loss 1.0561, train acc 0.70652, train_AUC 0.79584, train_F1: 0.6087
epoch 93, total loss 1.1514, train acc 0.71739, train_AUC 0.80993, train_F1: 0.60606
epoch 94, total loss 1.0368, train acc 0.75, train_AUC 0.87051, train_F1: 0.67606
epoch 95, total loss 0.89615, train acc 0.67391, train_AUC 0.81608, train_F1: 0.51613
epoch 96, total loss 1.166, train acc 0.65217, train_AUC 0.74421, train_F1: 0.46667
epoch 97, total loss 1.1071, train acc 0.66304, train_AUC 0.79243, train_F1: 0.50794
epoch 98, total loss 1.1023, train acc 0.68478, train_AUC 0.82339, train_F1: 0.53968
epoch 99, total loss 1.1715, train acc 0.69565, train_AUC 0.80071, train_F1: 0.6
epoch 100, total loss 1.0153, train acc 0.70652, train_AUC 0.82703, train_F1: 0.58462
epoch 101, total loss 0.96479, train acc 0.73913, train_AUC 0.85201, train_F1: 0.64706
epoch 102, total loss 1.0456, train acc 0.72826, train_AUC 0.85275, train_F1: 0.63768
epoch 103, total loss 1.0252, train acc 0.68478, train_AUC 0.84617, train_F1: 0.55385
epoch 104, total loss 1.0294, train acc 0.71739, train_AUC 0.83365, train_F1: 0.63889
epoch 105, total loss 1.1514, train acc 0.65217, train_AUC 0.7721, train_F1: 0.51515
epoch 106, total loss 1.0673, train acc 0.68478, train_AUC 0.79853, train_F1: 0.53968
epoch 107, total loss 0.94548, train acc 0.77174, train_AUC 0.86856, train_F1: 0.72
epoch 108, total loss 1.0116, train acc 0.70652, train_AUC 0.80955, train_F1: 0.6087
epoch 109, total loss 1.1788, train acc 0.66304, train_AUC 0.76407, train_F1: 0.53731
epoch 110, total loss 1.0695, train acc 0.66304, train_AUC 0.80047, train_F1: 0.52308
epoch 111, total loss 1.0513, train acc 0.66304, train_AUC 0.78014, train_F1: 0.4918
epoch 112, total loss 0.94481, train acc 0.76087, train_AUC 0.84972, train_F1: 0.68571
epoch 113, total loss 0.90916, train acc 0.71739, train_AUC 0.8483, train_F1: 0.61765
epoch 114, total loss 0.93581, train acc 0.75, train_AUC 0.87476, train_F1: 0.64615
